"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32D";;;
2;"R11,R10";"RESC1005X40N";2;"RC0402FR-0710KL";;;
3;"R1,R13,R6,R7";"RC0402FR-0710KL";4;"RC0402FR-0710KL";;;
4;"J4";"SolderWirePad_1x03_P3.175mm_Drill0.8mm";1;"Conn_01x03_Female";;;
5;"R12";"RESC1005X40N";1;"RR0510P-102-D";;;
6;"IC2";"SON50P300X300X100-11N-D";1;"MCP73833-FCI_MF";;;
7;"C16,C7,C6,C11";"CAPC1608X90N";4;"TMK107BJ105KA-T";;;
8;"IC4";"SON95P300X300X100-7N-D";1;"LD39200PU33R";;;
9;"IC3";"SON50P200X300X80-12N-D";1;"STM6601CQ2BDM6F";;;
10;"C12,C4,C15,C10,C5,C9,C2,C1";"CAPC1005X55N";8;"GRM155R61H104KE14D";;;
11;"J1";"GCT_USB4105-GF-A";1;"USB4105-GF-A";;;
12;"J6,J2,J7,J3";"JST_SM04B-SRSS-TB(LF)(SN)";4;"SM04B-SRSS-TB(LF)(SN)";;;
13;"R9";"RESC1005X37N";1;"AC0402FR-13100KL-SamacSys_Parts";;;
14;"R8";"RESC1608X55N";1;"RC0603FR-101K2L";;;
15;"U2";"LGA-12_2x2mm_P0.5mm";1;"LIS2HH12";;;
16;"R5";"RESC1005X35N";1;"CRCW0402140RFKEDC";;;
17;"R4";"RESC1005X35N";1;"CRCW040222K6FKEDC";;;
18;"J5";"PinHeader_2x03_P1.27mm_Vertical";1;"Conn_02x03_Odd_Even";;;
19;"FID2,FID1";"Fiducial_0.5mm_Mask1.5mm";2;"Fiducial";;;
20;"R3,R2";"RESC0603X26N";2;"RC0201FR-075K1L";;;
21;"S1";"EVQQ2";1;"EVQ-Q2U03W";;;
22;"D2";"SOD2513X110N";1;"BAT60AE6327HTSA1";;;
23;"IC1";"QFN50P400X400X80-25N-D";1;"CP2102N-A02-GQFN24R";;;
24;"Q1,Q2";"SOT95P230X110-3N";2;"PMBT2222,215";;;
25;"Q3";"SOT95P237X112-3N";1;"Si2347DS-T1-GE3";;;
26;"D1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B";;;
27;"H4,H3,H2,H1";"MountingHole_3mm";4;"MountingHole";;;
28;"C14,C13,C8,C3";"CAPC1608X95N";4;"GRM188R61A106KE69D";;;
